_c0,time
5261462,2022-10-30 14:09:01.645
5280478,2022-11-06 17:17:35.038
5288565,2022-11-13 14:10:43.139
5295453,2022-11-20 14:11:36.731
5306526,2022-11-27 14:09:20.715
5327389,2022-12-04 14:09:36.025
5341145,2022-12-11 10:16:50.467
5348999,2022-12-18 14:11:40.634
5357333,2022-12-25 14:08:05.386
5368802,2023-01-08 14:08:33.952
5386650,2023-01-15 03:18:33.627
5394438,2023-01-22 20:23:13.983
5402401,2023-01-30 09:19:47.918
5412067,2023-02-06 15:34:12.735
5428845,2023-02-12 08:13:28.208
5436945,2023-02-26 08:12:46.808
5454411,2023-03-06 12:46:45.018
5474824,2023-03-12 08:12:44.411
5482932,2023-03-19 09:37:16.909
5490925,2023-03-26 07:12:47.363
5499571,2023-04-02 07:12:58.253
5509580,2023-04-09 07:12:45.434
5526285,2023-04-16 07:11:18.421
5262549,2023-04-23 07:11:16.846
5541973,2023-04-30 08:11:19.462
5569234,2023-05-07 08:11:18.615
